"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cre03.g176500.t1.2.v5.5",293.826043709119,5.74008683564839,1.42043683086864,4.04107152877622,5.32075248969466e-05,0.165728138172764
"Cre03.g191700.t1.1.v5.5",119.408894101208,-5.66056962671963,1.36131925985418,-4.15814996059482,3.20835388799178e-05,0.165728138172764
"Cre06.g260850.t1.2.v5.5",297.463071156322,-6.00346880525766,1.46998470085027,-4.08403488946867,4.42603810240388e-05,0.165728138172764
"Cre06.g281500.t1.1.v5.5",46.305578203001,-5.95019659221695,1.44332906311933,-4.12255025153956,3.74700835045393e-05,0.165728138172764
"Cre13.g566200.t1.2.v5.5",155.03526133151,5.16607588623655,1.35677690920549,3.80760893790692,0.00014031693279855,0.349641733147428
"Cre09.g403350.t1.1.v5.5",20.8497507367347,-5.36916756745599,1.43535859575119,-3.7406454271074,0.000183548306655279,0.381138058769687
"Cre02.g079200.t1.2.v5.5",214.851816181481,4.86684486786731,1.4251248353315,3.41503056238244,0.000637748553095309,0.506060145593778
"Cre02.g090700.t1.1.v5.5",36.9367673332737,-4.86443082207332,1.35989134642961,-3.57707314988425,0.000347462963189247,0.506060145593778
"Cre03.g191350.t1.1.v5.5",81.0223663821128,-4.47377295906455,1.28993485100885,-3.46821620918735,0.000523925576250373,0.506060145593778
"Cre06.g249950.t1.1.v5.5",23.0397197674741,-5.24937403983513,1.53945511299323,-3.40989093837788,0.000649888621037038,0.506060145593778
"Cre06.g273750.t1.1.v5.5",346.194295489984,-5.06051307247399,1.42813010566449,-3.54345381586883,0.000394922475016686,0.506060145593778
"Cre08.g383400.t1.1.v5.5",99.5784460577485,-4.45846741529706,1.30345290725687,-3.42050517550339,0.000625049463920858,0.506060145593778
"Cre12.g547350.t1.1.v5.5",37.5774662562595,-4.69496935173582,1.32939219499425,-3.53166610230934,0.000412950421231648,0.506060145593778
"Cre13.g583400.t1.1.v5.5",172.681126832358,-5.14583681052909,1.44279203842165,-3.56658248277999,0.000361667009599763,0.506060145593778
"Cre14.g630600.t1.1.v5.5",17.7321537399318,-4.8208824824451,1.40017997668372,-3.44304486760567,0.000575203875728312,0.506060145593778
"Cre17.g706250.t1.1.v5.5",17.4978997161498,-4.6433888816279,1.35298449760541,-3.43196015168395,0.000599235599105929,0.506060145593778
"Cre07.g346150.t1.1.v5.5",14.0635364074452,-4.48414172031869,1.33485762195648,-3.35926592211861,0.00078149826495393,0.572746287238883
"Cre01.g035900.t1.1.v5.5",15.6625692521511,-5.01460246996739,1.51196076044121,-3.31662209838307,0.000911127655100466,0.580613018726692
"Cre06.g277300.t1.1.v5.5",40.0376679390908,-5.17282171921509,1.55036753251609,-3.33651318846966,0.000848364034443316,0.580613018726692
"Cre12.g552650.t1.2.v5.5",157.815086468036,-4.76062976405222,1.44410446758032,-3.29659652118446,0.000978639810037766,0.580613018726692
"Cre12.g553900.t1.1.v5.5",171.593246705414,-4.73217576347932,1.43502849373755,-3.29761798050037,0.000975087001065568,0.580613018726692
"Cre07.g325729.t1.1.v5.5",110.940487607964,-4.75621272365877,1.46451645590091,-3.24763351377498,0.0011636905295513,0.607882656662013
"Cre14.g626634.t1.1.v5.5",10.0732504969613,-4.83493787601083,1.47957780917127,-3.26778209705574,0.00108393784346485,0.607882656662013
"Cre17.g710600.t1.2.v5.5",20.6840121371234,-5.04540356546758,1.55441327671415,-3.24585722539182,0.00117097550043248,0.607882656662013
"Cre05.g232300.t1.1.v5.5",14.2269635080295,-4.1243931493428,1.28231038214306,-3.21637663297236,0.00129820335347348,0.622089060804849
"Cre17.g736650.t1.2.v5.5",585.31283214322,-4.58417159234635,1.42182904766183,-3.22413696631457,0.00126352950348621,0.622089060804849
"Cre08.g366950.t1.2.v5.5",19.1782510199037,-4.95307372455969,1.55826902651302,-3.17857420014522,0.00148001331580078,0.682943922280072
"Cre03.g181100.t1.1.v5.5",236.298768324974,4.08160416715126,1.33463836611242,3.05820982731096,0.00222663606504935,0.733231779167548
"Cre03.g184500.t1.2.v5.5",718.115429215852,-4.5279370882449,1.44611283799821,-3.13110911491022,0.00174147443195477,0.733231779167548
"Cre03.g187700.t1.1.v5.5",44.8098322443107,-4.00960000335747,1.30335334789311,-3.07637219779198,0.00209536107150093,0.733231779167548
"Cre03.g203730.t1.2.v5.5",8.02451115578646,-4.57086777027926,1.47835484515447,-3.09186105437471,0.00198905927756795,0.733231779167548
"Cre03.g207713.t1.1.v5.5",692.657652901291,-4.35127985855975,1.42177398634705,-3.06045820245976,0.00220998604902155,0.733231779167548
"Cre06.g278235.t1.1.v5.5",16.3871799741277,-4.65603054496216,1.50333476481021,-3.09713488568859,0.00195400939985628,0.733231779167548
"Cre09.g388372.t1.2.v5.5",7.62110881900803,-4.53746964280769,1.48433507939114,-3.05690386611959,0.0022363598690398,0.733231779167548
"Cre09.g396139.t1.1.v5.5",12.3309657708245,-4.74176195958897,1.53323474140554,-3.09265230661427,0.00198376408161494,0.733231779167548
"Cre09.g400775.t1.1.v5.5",119.398130374206,3.96963915913547,1.29555254527764,3.06405106732647,0.00218361632314538,0.733231779167548
"Cre09.g405000.t1.2.v5.5",14.8915100843346,-4.83131211440683,1.53906259300068,-3.13912646332812,0.00169452300762074,0.733231779167548
"Cre10.g449650.t1.1.v5.5",8.05418638867764,-4.62074658462105,1.49480096439579,-3.09121193702788,0.00199341296580994,0.733231779167548
"Cre07.g335050.t1.1.v5.5",16.6056574832744,-4.34332533648561,1.4448883161225,-3.00599381143959,0.00264714385232339,0.755990925752283
"Cre09.g392800.t1.1.v5.5",23.6163208197272,-4.54867988687754,1.49882000521252,-3.03484065535447,0.00240662800061784,0.755990925752283
"Cre09.g400800.t1.2.v5.5",26.8108418776465,-4.50833729000983,1.49614317924959,-3.01330604753419,0.00258418164569451,0.755990925752283
"Cre12.g534300.t1.1.v5.5",10.7455921699914,-4.62286671152364,1.53966645193833,-3.00251181397359,0.00267761580307356,0.755990925752283
"Cre17.g697624.t1.2.v5.5",16.8415543834458,-4.65293313364702,1.55276274662895,-2.9965512398778,0.00273052344962298,0.755990925752283
"Cre17.g718150.t1.1.v5.5",70.8277038513118,-4.51412531133041,1.49049445476672,-3.02860926244567,0.0024568221741448,0.755990925752283
"Cre19.g750147.t1.1.v5.5",13.1147406551677,-4.57920275809074,1.51661134348875,-3.01936470259871,0.00253305403879164,0.755990925752283
"Cre10.g421250.t1.2.v5.5",517.063570401815,-4.11711107733368,1.37952240578862,-2.98444668970786,0.00284091701172677,0.769456196719648
