"","1-b","1-m","10-b","10-m","5-b","5-m","s-b","s-m"
"Cre01.g000017.t1.1.v5.5",0,0,10.6876706059775,0,13.4611435805986,0,0,0
"Cre01.g000033.t1.1.v5.5",0,0,0.570009098985465,0,2.3076246138169,0,0,0
"Cre01.g000050.t1.1.v5.5",0,16.6871825008248,31.493002718947,0.406471012450925,15.7687681944155,0,0,10.5301139331799
"Cre01.g000100.t1.1.v5.5",4.95230388631083,11.779187647641,31.1367470320811,7.11324271789119,7.05107520888498,13.8887293648061,0,31.5903417995396
"Cre01.g000150.t1.2.v5.5",0,38.2823598548333,0,0,2.69222871611972,0,39.416325073232,0
"Cre01.g000200.t1.1.v5.5",4.95230388631083,0.981598970636752,15.3189945352344,0,9.87150529243898,0,0,0
"Cre01.g000250.t1.2.v5.5",0,0,35.0555595876061,45.7279889007291,22.4352393009977,55.0919598137308,39.416325073232,0
"Cre01.g000300.t1.1.v5.5",4.95230388631083,531.045043114483,108.657984494104,291.236480421088,116.663244365188,362.495836421438,19.708162536616,10.5301139331799
"Cre01.g000350.t1.1.v5.5",549.705731380502,242.454945747278,104.097911702221,297.130310101626,267.940857937629,223.145585127884,68.978568878156,1484.74606457836
"Cre01.g000400.t1.2.v5.5",0,0,45.8144813309568,42.0697497886707,41.0244375789672,0,9.854081268308,0
"Cre01.g000450.t1.2.v5.5",4.95230388631083,0,16.9577706948176,30.4853259338194,11.281720334216,0,0,0
"Cre01.g000500.t1.1.v5.5",0,0,1.21126933534411,16.0556049918115,2.94863145098827,0,0,0
"Cre01.g000550.t1.2.v5.5",14.8569116589325,4.90799485318376,17.6702820685494,13.4135434108805,11.4099217016502,0.462957645493536,0,0
"Cre01.g000600.t1.2.v5.5",0,0,20.0215696018645,11.7876593610768,9.23049845526761,0.462957645493536,0,2706.23928082723
"Cre01.g000650.t1.1.v5.5",4.95230388631083,0,98.1840673002464,79.4650829341558,85.638513446094,57.4067480411984,0,0
"Cre01.g000700.t1.1.v5.5",0,0.981598970636752,0,5.69059417431295,2.69222871611972,0,9.854081268308,10.5301139331799
"Cre01.g000750.t1.1.v5.5",0,0,16.1740081837126,11.5844238548514,8.20488751579344,4.16661880944182,9.854081268308,0
"Cre01.g000800.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre01.g000800.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g000850.t1.2.v5.5",0,0,11.5426842544557,37.5985686517106,33.3323555329108,20.3701364017156,0,10.5301139331799
"Cre01.g000900.t1.2.v5.5",4.95230388631083,69.6935269152094,47.0970018036741,45.3215178882781,50.7677415039719,96.2951902626554,0,0
"Cre01.g000950.t1.1.v5.5",39.6184310904866,0,0.21375341211955,4.47118113696018,0.51280546973709,0,0,0
"Cre01.g001000.t1.1.v5.5",0,0.981598970636752,11.5426842544557,9.95853980504766,15.512365459547,4.62957645493536,68.978568878156,0
"Cre01.g001100.t1.2.v5.5",4.95230388631083,0,31.2792493068274,61.9868293987661,41.40904168127,63.4251974326144,0,105.301139331799
"Cre01.g001150.t1.1.v5.5",44.5707349767975,4.90799485318376,48.8782802380037,57.3124127555804,37.4347992908075,12.0368987828319,29.562243804924,10.5301139331799
"Cre01.g001200.t1.1.v5.5",9.90460777262166,4.90799485318376,1.92378070907595,3.65823911205833,9.7433039250047,40.7402728034311,9.854081268308,31.5903417995396
"Cre01.g001250.t1.2.v5.5",4.95230388631083,4.90799485318376,4.34631937976417,3.65823911205833,3.07683281842254,1.38887293648061,29.562243804924,31.5903417995396
"Cre01.g001300.t1.1.v5.5",4.95230388631083,8.83439073573077,8.83514103427471,2.64206158093101,8.33308888322771,1.38887293648061,49.27040634154,0
"Cre01.g001350.t1.2.v5.5",0,0,2.06628298382231,6.5035361992148,17.6917887059296,0,0,0
"Cre01.g001400.t1.1.v5.5",19.8092155452433,4.90799485318376,60.6347179045789,41.6632787762198,59.2290317546339,180.553481742479,118.248975219696,10.5301139331799
"Cre01.g001450.t1.2.v5.5",0,0,7.41011828681105,0,10.5125121296103,0,0,0
"Cre01.g001501.t1.1.v5.5",4.95230388631083,1.9631979412735,7.33886714943787,6.30030069298934,0,0,0,0
"Cre01.g001550.t1.1.v5.5",4.95230388631083,0.981598970636752,14.8914877109953,18.0879600540662,13.7175463154671,26.8515434386251,0,10.5301139331799
"Cre01.g001600.t1.2.v5.5",0,0.981598970636752,9.97515923224565,13.616778917106,5.51265879967371,5.09253410042889,0,0
"Cre01.g001650.t1.2.v5.5",14.8569116589325,23.5583752952821,0,0,0.51280546973709,0,0,10.5301139331799
"Cre01.g001657.t1.1.v5.5",0,2.94479691191026,1.63877615958321,0.406471012450925,0,0,0,0
"Cre01.g001664.t1.1.v5.5",0,0,5.77134212722784,0,6.0254642694108,0,0,0
"Cre01.g001671.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g001678.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g001678.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g001685.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g001700.t1.1.v5.5",0,16.6871825008248,10.901424018097,0.203235506225463,3.97424239046245,0.462957645493536,0,10.5301139331799
"Cre01.g001750.t1.2.v5.5",4.95230388631083,0.981598970636752,33.2030300159034,34.1435650458777,26.9222871611972,36.1106963484958,9.854081268308,0
"Cre01.g001800.t1.1.v5.5",0,0,58.6396860581298,9.95853980504766,28.9735090401456,27.3145010841186,206.935706634468,0
"Cre01.g001950.t1.2.v5.5",4.95230388631083,89.3255063279445,0.285004549492733,9.95853980504766,11.0253175993474,0.462957645493536,0,0
"Cre01.g001983.t1.1.v5.5",0,0,1.85252957170276,7.92618474279304,8.71769298553053,19.907178756222,0,0
"Cre01.g001983.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g002050.t1.1.v5.5",4.95230388631083,1.9631979412735,94.6215104315873,187.383136739876,149.098190326059,189.349677006856,19.708162536616,0
"Cre01.g002100.t1.2.v5.5",0,0,14.8914877109953,8.33265575524396,9.87150529243898,0,0,0
"Cre01.g002150.t1.2.v5.5",0,0,10.3314149191116,0,0.384604102302817,12.0368987828319,0,0
"Cre01.g002200.t1.1.v5.5",0,0,8.33638307266243,20.5267861287717,11.0253175993474,27.3145010841186,0,0
"Cre01.g002201.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre01.g002201.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g002203.t1.1.v5.5",0,0,4.34631937976417,0,0.384604102302817,0.462957645493536,0,0
"Cre01.g002227.t1.2.v5.5",0,0,19.9503184644913,0,3.84604102302817,0,0,0
"Cre01.g002234.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g002234.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g002250.t1.2.v5.5",0,0,14.0364740625171,12.8038368922041,5.51265879967371,19.4442211107285,0,0
"Cre01.g002300.t1.2.v5.5",529.896515835259,1004.1757469614,601.288348292293,1326.51814913359,703.440903111853,1270.35577923426,29.562243804924,2042.84210303689
"Cre01.g002350.t1.1.v5.5",0,168.835022949521,15.8177524968467,12.6006013859787,23.5890516079061,20.8330940472091,0,0
"Cre01.g002400.t1.1.v5.5",0,0,2.1375341211955,3.65823911205833,3.7178396555939,8.33323761888364,0,0
"Cre01.g002451.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g002500.t1.2.v5.5",4.95230388631083,434.848343992081,85.7151182599394,157.913988337184,77.0490218279977,209.256855763078,0,0
"Cre01.g002550.t1.1.v5.5",0,0,10.117661506992,4.8776521494111,7.56388067862207,15.7405599467802,0,0
"Cre01.g002600.t1.2.v5.5",0,6.87119279445727,0.0712511373731832,0.203235506225463,0,0.462957645493536,0,0
"Cre01.g002650.t1.2.v5.5",0,0,0,0,0,0.462957645493536,0,0
"Cre01.g002700.t1.2.v5.5",4.95230388631083,174.724616773342,7.76637397367697,18.6976665727426,21.2814269940892,0,187.227544097852,0
"Cre01.g002750.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre01.g002750.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g002787.t1.1.v5.5",19.8092155452433,14.7239845595513,12.2551956281875,11.5844238548514,3.7178396555939,0,9.854081268308,10.5301139331799
"Cre01.g002824.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g002861.t1.1.v5.5",0,3.92639588254701,35.6968198239648,17.0717825229389,23.4608502404719,9.72211055536425,128.103056488004,0
"Cre01.g002900.t1.2.v5.5",0,0,5.77134212722784,0,2.3076246138169,0,0,0
"Cre01.g002950.t1.1.v5.5",0,0,8.83514103427471,4.47118113696018,4.10244375789672,0,0,0
"Cre01.g003000.t1.1.v5.5",9.90460777262166,0,10.6876706059775,3.45500360583286,29.9991199796197,0,187.227544097852,0
"Cre01.g003050.t1.2.v5.5",0,0,31.3505004442006,34.1435650458777,22.5634406684319,9.25915290987071,0,0
"Cre01.g003100.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g003100.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g003150.t1.2.v5.5",0,239.510148835368,19.0240536786399,25.2012027719574,21.7942324638263,5.09253410042889,0,0
"Cre01.g003200.t1.2.v5.5",0,1.9631979412735,9.69015468275291,0,7.82028341349062,8.33323761888364,0,0
"Cre01.g003250.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g003300.t1.2.v5.5",0,0,0,0,0.384604102302817,0,0,10.5301139331799
"Cre01.g003376.t1.1.v5.5",0,10.7975886770043,6.84010918782559,4.26794563073471,4.35884649276526,19.4442211107285,9.854081268308,0
"Cre01.g003450.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g003450.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g003463.t1.1.v5.5",4.95230388631083,0,30.4954867957224,29.875619415143,22.1788365661291,0,0,0
"Cre01.g003475.t1.1.v5.5",0,0,3.13505004442006,1.82911955602916,2.56402734868545,0.925915290987071,0,0
"Cre01.g003487.t1.1.v5.5",4.95230388631083,24.5399742659188,9.04889444639426,5.48735866808749,7.17927657631926,0.462957645493536,0,63.1806835990792
"Cre01.g003500.t1.2.v5.5",64.3799505220408,199.264591039261,32.6330209169179,15.2426629669097,16.6661777664554,0.925915290987071,0,0
"Cre01.g003508.t1.1.v5.5",0,0,2.63629208280778,0,1.92302051151409,0,0,0
"Cre01.g003516.t1.1.v5.5",683.417936310895,0,2.56504094543459,0,0.897409572039907,4.16661880944182,0,0
"Cre01.g003524.t1.1.v5.5",0,115.828678535137,17.1715241069371,5.69059417431295,3.7178396555939,0,0,0
"Cre01.g003532.t1.1.v5.5",19.8092155452433,0,6.19884895146694,0.406471012450925,4.74345059506808,0,0,0
"Cre01.g003541.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g003550.t1.1.v5.5",0,10.7975886770043,31.8492584058129,20.9332571412226,27.5632939983686,13.8887293648061,0,0
"Cre01.g003600.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre01.g003650.t1.1.v5.5",0,0,4.70257506663009,0,2.94863145098827,8.33323761888364,0,0
"Cre01.g003650.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g003700.t1.2.v5.5",24.7615194315542,3.92639588254701,21.1615877998354,15.2426629669097,14.3585531526385,5.55549174592243,9.854081268308,10.5301139331799
"Cre01.g003751.t1.1.v5.5",34.6661272041758,1.9631979412735,0.142502274746366,0.406471012450925,0.897409572039907,0.462957645493536,19.708162536616,10.5301139331799
"Cre01.g003800.t1.1.v5.5",9.90460777262166,0.981598970636752,6.19884895146694,6.91000721166573,8.20488751579344,0,9.854081268308,10.5301139331799
"Cre01.g003826.t1.1.v5.5",0,0,2.35128753331505,0,1.66661777664554,0,0,0
"Cre01.g003850.t1.1.v5.5",0,0,11.4714331170825,7.31647822411665,4.99985332993662,17.5923905287544,0,0
"Cre01.g003950.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g003950.t2.1.v5.5",0,0,0,0,0,0,0,0
