"","1-b","1-t","10-b","10-t","5-b","5-t","s-b","s-t"
"Cre01.g000017.t1.1.v5.5",0,0,13.0873020224999,4.14784483253253,17.5844464126671,0,0,0
"Cre01.g000033.t1.1.v5.5",0,0,0.697989441199995,1.31976881035126,3.0144765278858,0,0,0
"Cre01.g000050.t1.1.v5.5",0,0,38.5639166262997,7.35299765767131,20.5989229405529,133.102257489394,0,0
"Cre01.g000100.t1.1.v5.5",5.40185406255402,40.3835899566536,38.1276732255497,12.1607268953795,9.21090050187326,0,0,0
"Cre01.g000150.t1.2.v5.5",0,0.348134396178049,0,5.56188284362317,3.51688928253343,0,41.314777411901,0
"Cre01.g000200.t1.1.v5.5",5.40185406255402,0,18.7584662322499,16.5913793301301,12.8952607026226,0,0,0
"Cre01.g000250.t1.2.v5.5",0,0,42.9263506337997,22.7188773781896,29.3074106877786,0,41.314777411901,11.3121437983589
"Cre01.g000300.t1.1.v5.5",5.40185406255402,0,133.054237228749,184.956171850655,152.398535576449,107.575797148962,20.6573887059505,11.3121437983589
"Cre01.g000350.t1.1.v5.5",599.605800943496,221.065341573061,127.470321699149,510.37345280298,350.014219071184,247.971329021337,72.3008604708267,22.6242875967178
"Cre01.g000400.t1.2.v5.5",0,297.654908732232,56.1009013364496,45.3434855556398,53.5906938290808,103.0175006596,10.3286943529752,11.3121437983589
"Cre01.g000450.t1.2.v5.5",5.40185406255402,23.3250045439293,20.7651858756998,11.5951116909432,14.7374408029972,108.487456446835,0,0
"Cre01.g000500.t1.1.v5.5",0,0.348134396178049,1.48322756254999,1.69684561330876,3.85183111896518,0,0,0
"Cre01.g000550.t1.2.v5.5",16.2055621876621,0.348134396178049,21.6376726771998,3.58222962809628,14.9049117212131,0,0,0
"Cre01.g000600.t1.2.v5.5",0,143.083236829178,24.5168791221498,17.2512637353058,12.0579061115432,0,0,0
"Cre01.g000650.t1.1.v5.5",5.40185406255402,91.5593461948268,120.228681246699,102.847698006659,111.870573368206,0,0,3076.90311315362
"Cre01.g000700.t1.1.v5.5",0,53.2645626152414,0,2.7338068214419,3.51688928253343,0,10.3286943529752,11.3121437983589
"Cre01.g000750.t1.1.v5.5",0,0,19.8054503940498,21.5876469693171,10.7181387658162,0.911659297872563,10.3286943529752,0
"Cre01.g000800.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre01.g000800.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g000850.t1.2.v5.5",0,0,14.1342861842999,18.2882249434389,43.5424387361282,0,0,11.3121437983589
"Cre01.g000900.t1.2.v5.5",5.40185406255402,232.205642250758,57.6713775791495,84.5594730632201,66.3184836134875,0.911659297872563,0,0
"Cre01.g000950.t1.1.v5.5",43.2148325004322,0,0.261746040449998,3.95930643105378,0.66988367286351,0,0,0
"Cre01.g001000.t1.1.v5.5",0,74.1526263859243,14.1342861842999,3.58222962809628,20.2639811041212,0,72.3008604708267,0
"Cre01.g001100.t1.2.v5.5",5.40185406255402,6.26641913120488,38.3021705858497,116.988078117565,54.0931065837284,11.8515708723433,0,0
"Cre01.g001150.t1.1.v5.5",48.6166865629862,0.348134396178049,59.8525945828995,57.692750852498,48.9015081190362,3.64663719149025,30.9860830589257,11.3121437983589
"Cre01.g001200.t1.1.v5.5",10.803708125108,1.04440318853415,2.35571436404998,10.4638812820707,12.7277897844067,78.4026996170404,10.3286943529752,0
"Cre01.g001250.t1.2.v5.5",5.40185406255402,1.04440318853415,5.32216948914996,2.54526841996315,4.01930203718106,5.46995578723538,30.9860830589257,33.9364313950767
"Cre01.g001300.t1.1.v5.5",5.40185406255402,3.48134396178049,10.8188363385999,5.37334444214442,10.885609684032,0.911659297872563,51.6434717648762,56.5607189917945
"Cre01.g001350.t1.2.v5.5",0,0,2.53021172434998,5.27907524140504,23.1109867137911,0,0,0
"Cre01.g001400.t1.1.v5.5",21.6074162502161,31.6802300522024,74.2486268076494,93.7035855349395,77.3715642157354,123.985664510669,123.944332235703,11.3121437983589
"Cre01.g001450.t1.2.v5.5",0,0,9.07386273559993,4.05357563179316,13.732615293702,0,0,0
"Cre01.g001501.t1.1.v5.5",5.40185406255402,0,8.98661405544993,7.07019005545318,0,141.307191170247,0,0
"Cre01.g001550.t1.1.v5.5",5.40185406255402,0,18.2349741513499,34.5025274706115,17.9193882490989,112.134093638325,0,0
"Cre01.g001600.t1.2.v5.5",0,0,12.2148152209999,32.9942202587815,7.20124948328273,0,0,11.3121437983589
"Cre01.g001650.t1.2.v5.5",16.2055621876621,0,0,1.50830721183001,0.66988367286351,0,0,0
"Cre01.g001657.t1.1.v5.5",0,0,2.00671964344998,1.03696120813313,0,0,0,0
"Cre01.g001664.t1.1.v5.5",0,79.026507932417,7.06714309214994,1.79111481404814,7.87113315614624,0,0,0
"Cre01.g001671.t1.1.v5.5",0,0,0,0.282807602218127,0,0,0,0
"Cre01.g001678.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g001678.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g001685.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g001700.t1.1.v5.5",0,3.13320956560244,13.3490480629499,9.52118927467695,5.1915984646922,9.11659297872563,0,147.057869378666
"Cre01.g001750.t1.2.v5.5",5.40185406255402,1.39253758471219,40.6578849498997,67.6852861308718,35.1688928253343,0,10.3286943529752,0
"Cre01.g001800.t1.1.v5.5",0,200.525412198556,71.8056637634494,63.1603644953818,37.8484275167883,1.82331859574513,216.90258141248,0
"Cre01.g001950.t1.2.v5.5",5.40185406255402,0,0.348994720599997,8.01288206284694,14.4024989665655,9.11659297872563,0,0
"Cre01.g001983.t1.1.v5.5",0,0,2.26846568389998,13.1034189027732,11.3880224386797,0.911659297872563,0,0
"Cre01.g001983.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g002050.t1.1.v5.5",5.40185406255402,88.7742710254024,115.866247239199,457.676969589669,194.768677885066,0,20.6573887059505,0
"Cre01.g002100.t1.2.v5.5",0,166.060106976929,18.2349741513499,21.1163009656202,12.8952607026226,10.0282522765982,0,0
"Cre01.g002150.t1.2.v5.5",0,0,12.6510586217499,4.80772923770816,0.502412754647633,0,0,0
"Cre01.g002200.t1.1.v5.5",0,0,10.2080955775499,74.8497453870644,14.4024989665655,0,0,0
"Cre01.g002201.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre01.g002201.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g002203.t1.1.v5.5",0,37.9466491834073,5.32216948914996,0.377076802957503,0.502412754647633,0.911659297872563,0,0
"Cre01.g002227.t1.2.v5.5",0,0,24.4296304419998,4.61919083622941,5.02412754647633,0,0,22.6242875967178
"Cre01.g002234.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g002234.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g002250.t1.2.v5.5",0,0.348134396178049,17.1879899895499,5.27907524140504,7.20124948328273,0,0,0
"Cre01.g002300.t1.2.v5.5",577.99838469328,1362.59802664088,736.291611785844,1478.80095199859,918.91292825052,712.005911638472,30.9860830589257,3642.51030307157
"Cre01.g002350.t1.1.v5.5",0,63.7085945005829,19.3692069932998,46.8517927674698,30.8146489517215,39.2013498085202,0,0
"Cre01.g002400.t1.1.v5.5",0,0,2.61746040449998,1.13123040887251,4.85665662826045,0,0,0
"Cre01.g002451.t1.1.v5.5",0,0,0,0.565615204436255,0,0,0,11.3121437983589
"Cre01.g002500.t1.2.v5.5",5.40185406255402,295.217967958985,104.960162220449,243.968691513505,100.650021847742,0,0,0
"Cre01.g002550.t1.1.v5.5",0,0,12.3893125812999,10.8409580850282,9.88078417473677,0,0,22.6242875967178
"Cre01.g002600.t1.2.v5.5",0,0,0.0872486801499993,2.16819161700564,0,0,0,0
"Cre01.g002650.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre01.g002700.t1.2.v5.5",5.40185406255402,0,9.51010613634993,15.3658797205183,27.8001724238357,0,196.24519270653,11.3121437983589
"Cre01.g002750.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre01.g002750.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g002787.t1.1.v5.5",21.6074162502161,0.696268792356097,15.0067729857999,3.95930643105378,4.85665662826045,0,10.3286943529752,0
"Cre01.g002824.t1.1.v5.5",0,0,0,0.377076802957503,0,0,0,0
