sampleName,fileName,condition
01-005,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/01-005-D0/quant.gcounts,m0
01-012,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/01-012-D0/quant.gcounts,m1
01-013,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/01-013-D0/quant.gcounts,m0
01-019,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/01-019-D0/quant.gcounts,m0
01-020,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/01-020-D0/quant.gcounts,m1
01-021,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/01-021-D0/quant.gcounts,m1
02-003,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/02-003-D0/quant.gcounts,m0
02-005,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/02-005-D0/quant.gcounts,m0
02-015,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/02-015-D0/quant.gcounts,m0
02-019,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/02-019-D0/quant.gcounts,m0
02-020,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/02-020-D0/quant.gcounts,m0
02-023,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/02-023-D0/quant.gcounts,m1
02-024,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/02-024-D0/quant.gcounts,m0
02-025,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/02-025-D0/quant.gcounts,m1
02-026,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/02-026-D0/quant.gcounts,m1
02-027,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/02-027-D0/quant.gcounts,m0
02-032,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/02-032-D0/quant.gcounts,m0
02-034,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/02-034-D0/quant.gcounts,m0
02-036,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/02-036-D0/quant.gcounts,m0
02-039,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/02-039-D0/quant.gcounts,m1
02-042,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/02-042-D0/quant.gcounts,m1
02-043,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/02-043-D0/quant.gcounts,m1
06-001,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/06-001-D0/quant.gcounts,m1
