"","1-m","1-t","10-m","10-t","5-m","5-t","s-m","s-t"
"Cre01.g000017.t1.1.v5.5",0,0,0,3.5863585367656,0,0,0,0
"Cre01.g000033.t1.1.v5.5",0,0,0,1.14111407987996,0,0,0,0
"Cre01.g000050.t1.1.v5.5",17.5051658276431,0,0.444055064697154,6.35763558790265,0,124.494760607892,10.1666236033383,0
"Cre01.g000100.t1.1.v5.5",12.3565876430422,35.3210898253693,7.77096363220019,10.5145511646082,14.2658184378372,0,30.4998708100148,0
"Cre01.g000150.t1.2.v5.5",40.158909839887,0.304492153666977,0,4.80898076520841,0,0,0,0
"Cre01.g000200.t1.1.v5.5",1.02971563692018,0,0,14.3454341470624,0,0,0,0
"Cre01.g000250.t1.2.v5.5",0,0,49.9561947784298,19.6434638036479,56.5877464700876,0,0,11.63906809883
"Cre01.g000300.t1.1.v5.5",557.076159573817,0,318.165453855511,159.918987480321,372.337861227551,100.61905309405,10.1666236033383,11.63906809883
"Cre01.g000350.t1.1.v5.5",254.339762319284,193.35251757853,324.604252293619,441.285116319294,229.204149567918,231.935444420182,1433.49392807069,23.2781361976601
"Cre01.g000400.t1.2.v5.5",0,260.340791385265,45.9596991961554,39.205419458733,0,96.3555338951493,0,11.63906809883
"Cre01.g000450.t1.2.v5.5",0,20.4009742956875,33.3041298522865,10.0255022732311,0,101.47175693383,0,0
"Cre01.g000500.t1.1.v5.5",0,0.304492153666977,17.5401750555376,1.46714667413138,0,0,0,0
"Cre01.g000550.t1.2.v5.5",5.1485781846009,0.304492153666977,14.6538171350061,3.09730964538847,0.47552728126124,0,0,0
"Cre01.g000600.t1.2.v5.5",0,125.146275157128,12.8775968762175,14.9159911870024,0.47552728126124,0,2612.82226605793,0
"Cre01.g000650.t1.1.v5.5",0,80.0814364144149,86.8127651482935,88.9253900820742,58.9653828763937,0,0,3165.82652288177
"Cre01.g000700.t1.1.v5.5",1.02971563692018,46.5872995110475,6.21677090576015,2.36373630832278,0,0,10.1666236033383,11.63906809883
"Cre01.g000750.t1.1.v5.5",0,0,12.6555693438689,18.6653660208937,4.27974553135116,0.852703839780082,0,0
"Cre01.g000800.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre01.g000800.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g000850.t1.2.v5.5",0,0,41.0750934844867,15.8125808211938,20.9232003754946,0,10.1666236033383,11.63906809883
"Cre01.g000900.t1.2.v5.5",73.1098102213328,203.096266495874,49.5121397137326,73.1128092608805,98.9096745023379,0.852703839780082,0,0
"Cre01.g000950.t1.1.v5.5",0,0,4.88460571166869,3.42334223963989,0,0,0,0
"Cre01.g001000.t1.1.v5.5",1.02971563692018,64.8568287310661,10.8793490850803,3.09730964538847,4.7552728126124,0,0,0
"Cre01.g001100.t1.2.v5.5",0,5.48085876600558,67.7183973663159,101.151612366502,65.1472375327899,11.0851499171411,101.666236033383,0
"Cre01.g001150.t1.1.v5.5",5.1485781846009,0.304492153666977,62.6117641222987,49.8829869204669,12.3637093127922,3.41081535912033,10.1666236033383,11.63906809883
"Cre01.g001200.t1.1.v5.5",5.1485781846009,0.913476461000931,3.99649558227438,9.04740449047685,41.8464007509891,73.3325302210871,30.4998708100148,0
"Cre01.g001250.t1.2.v5.5",5.1485781846009,0.913476461000931,3.99649558227438,2.20072001119707,1.42658184378372,5.11622303868049,30.4998708100148,34.9172042964901
"Cre01.g001300.t1.1.v5.5",9.26744073228162,3.04492153666977,2.8863579205315,4.64596446808271,1.42658184378372,0.852703839780082,0,58.1953404941501
"Cre01.g001350.t1.2.v5.5",0,0,7.10488103515446,4.56445631951985,0,0,0,0
"Cre01.g001400.t1.1.v5.5",5.1485781846009,27.7087859836949,45.5156441314582,81.0190996714774,185.455639691884,115.967722210091,10.1666236033383,11.63906809883
"Cre01.g001450.t1.2.v5.5",0,0,0,3.50485038820274,0,0,0,0
"Cre01.g001501.t1.1.v5.5",2.05943127384036,0,6.88285350280588,6.11311114221409,0,132.169095165913,0,0
"Cre01.g001550.t1.1.v5.5",1.02971563692018,0,19.7604503790233,29.8319823740047,27.5805823131519,104.88257229295,10.1666236033383,0
"Cre01.g001600.t1.2.v5.5",1.02971563692018,0,14.8758446673546,28.5278519969991,5.23080009387364,0,0,11.63906809883
"Cre01.g001650.t1.2.v5.5",24.7131752860843,0,0,1.30413037700567,0,0,10.1666236033383,0
"Cre01.g001657.t1.1.v5.5",3.08914691076054,0,0.444055064697154,0.896589634191399,0,0,0,0
"Cre01.g001664.t1.1.v5.5",0,69.1197188824038,0,1.54865482269424,0,0,0,0
"Cre01.g001671.t1.1.v5.5",0,0,0,0.244524445688563,0,0,0,0
